Data_Status,State,MSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2020P,OH,ESICD,18.75,17.93,18.27,18.23,19.84,20.57,20.45,20.27,20.55,19.2
2020P,OH,ESRCD,33.15,33.48,34.46,35.2,36.62,37.51,36.56,37,36.81,36.28
2020P,OH,ESTCD,26.89,26.56,26.84,27.08,28.62,29.34,28.95,28.96,29.24,28.19
2020P,OH,ESTXD,26.89,26.56,26.84,27.08,28.62,29.34,28.95,28.96,29.24,28.19
2020P,OH,FNICD,0,0,0,0,0,0,0,0,0,0
2020P,OH,FOICD,0,0,0,0,0,0,0,0,0,0
2020P,OH,FSICD,0,0,0,0,0,0,0,0,0,0
2020P,OH,HLACD,27.14,30.37,23.2,24.51,27.13,16.6,15.66,19.91,20.53,18.05
2020P,OH,HLCCD,19.51,22.83,16.8,17.9,20.15,11.28,10.49,14.07,14.59,11.62
2020P,OH,HLICD,25.59,30.9,24.24,26.2,27.91,15.61,13.91,18.71,21.76,15.24
2020P,OH,HLRCD,25.03,29.35,26.73,26.68,30.87,23.6,23.6,28.71,29.23,24.86
2020P,OH,HLTCD,24.65,29.24,24.76,25.55,28.61,19.3,18.44,23.28,24.88,20.12
2020P,OH,HLTXD,24.65,29.24,24.76,25.55,28.61,19.3,18.44,23.28,24.88,20.12
2020P,OH,JFACD,16.3,22.59,22.95,22,20.9,11.85,9.75,12.15,15.82,14.64
2020P,OH,JFTCD,16.3,22.59,22.95,22,20.9,11.85,9.75,12.15,15.82,14.64
2020P,OH,JFTXD,16.3,22.59,22.95,22,20.9,11.85,9.75,12.15,15.82,14.64
2020P,OH,KSCCD,25.05,28.35,29.74,30.4,32.79,16.93,13.5,16.88,26.01,22.77
2020P,OH,KSICD,20.38,25.86,26.46,26.68,27.03,17.11,13.7,17.05,20.39,19.76
2020P,OH,KSRCD,25.05,28.35,29.74,30.4,32.79,16.93,13.5,16.88,26.01,22.77
2020P,OH,KSTCD,23.73,28.18,29.56,30.15,32.24,16.94,13.51,16.9,24.93,22.28
2020P,OH,KSTXD,23.73,28.18,29.56,30.15,32.24,16.94,13.51,16.9,24.93,22.28
2020P,OH,LUACD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,OH,LUICD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,OH,LUTCD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,OH,LUTXD,58.8,69.54,72.11,69.42,69.44,67.28,65.78,67.25,72.37,74.92
2020P,OH,MGACD,22.67,28.76,29.64,28.79,27.75,19.78,17.96,19.6,21.5,20.92
2020P,OH,MGCCD,22.67,28.76,29.64,28.79,27.75,19.78,17.96,19.6,21.5,20.92
2020P,OH,MGICD,22.67,28.76,29.64,28.79,27.75,19.78,17.96,19.6,21.5,20.92
2020P,OH,MGTCD,22.67,28.76,29.64,28.79,27.75,19.78,17.96,19.6,21.5,20.92
2020P,OH,MGTXD,22.67,28.76,29.64,28.79,27.75,19.78,17.96,19.6,21.5,20.92
2020P,OH,MSICD,24.61,32.69,32.39,32.25,29.53,15.53,13.05,16.26,20.66,19.05
2020P,OH,NGACD,4.33,8.07,9.79,16.24,14.13,12.73,11.82,12.76,12.29,12.64
2020P,OH,NGCCD,8.94,8.29,6.88,5.99,7.38,6.05,5.34,5.69,5.55,5.6
2020P,OH,NGEID,4.87,4.49,2.98,3.82,4.14,2.28,2.23,2.9,3.12,2.41
2020P,OH,NGICD,7.15,6.56,5.3,5.81,6.66,5,4.48,6.25,6.16,5.82
2020P,OH,NGRCD,10.76,10.45,9.59,9.12,9.58,8.89,8.4,9.06,8.53,8.98
2020P,OH,NGTCD,8.72,8.08,6.42,6.6,7.33,5.8,5.24,6.2,5.83,5.5
2020P,OH,NGTXD,9.04,8.56,7.33,7.22,8.02,6.82,6.19,7.2,6.95,7
2020P,OH,NUEGD,0.65,0.69,0.75,0.8,0.77,0.72,0.68,0.74,0.72,0.67
2020P,OH,NUETD,0.65,0.69,0.75,0.8,0.77,0.72,0.68,0.74,0.72,0.67
2020P,OH,OHICD,29.9,38.22,30.52,33.95,35.42,19.45,17.42,22.9,27.22,18.64
2020P,OH,OPICD,25.57,32.07,32.37,30.96,29.55,20.83,18.55,20.59,23.48,22.28
2020P,OH,OPTCD,25.57,32.07,32.37,30.96,29.55,20.83,18.55,20.59,23.48,22.28
2020P,OH,OPTXD,25.57,32.07,32.37,30.96,29.55,20.83,18.55,20.59,23.48,22.28
2020P,OH,P1ICD,14.77,17.32,17.25,21.08,22.99,18.86,15.65,17.32,19.71,19.87
2020P,OH,P1TCD,16.23,19.2,18.57,20.73,23.06,19.44,16.76,18.38,19.36,21.04
2020P,OH,P1TXD,18.39,21.74,21.31,24.91,26.97,22.8,19.28,21.14,23.57,23.62
2020P,OH,PAACD,22.42,28.55,29.4,28.79,27.84,19.7,17.57,19.47,21.92,21.19
2020P,OH,PACCD,18.63,24.04,23.61,23.26,22.24,16.39,14.51,16.64,18.89,17.62
2020P,OH,PAEID,4.93,8.16,7.55,4.73,6.2,3.13,2.9,3.54,3.59,3.88
